caldt,t30ret
1925-12-31,
1926-01-30,0.002951
1926-02-27,0.002768
1926-03-31,0.002778
1926-04-30,0.003072
1926-05-28,0.000342
1926-06-30,0.003459
1926-07-31,0.002243
1926-08-31,0.002536
1926-09-30,0.002273
1926-10-30,0.003195
1926-11-30,0.003093
1926-12-31,0.002778
1927-01-31,0.002463
1927-02-28,0.002570
1927-03-31,0.002959
1927-04-30,0.002546
1927-05-31,0.003008
1927-06-30,0.002583
1927-07-30,0.002991
1927-08-31,0.002757
1927-09-30,0.002096
1927-10-31,0.002520
1927-11-30,0.002086
1927-12-31,0.002230
1928-01-31,0.002225
1928-02-29,0.003294
1928-03-31,0.002936
1928-04-30,0.002224
1928-05-31,0.002920
1928-06-30,0.003122
1928-07-31,0.003226
1928-08-31,0.003216
1928-09-29,0.002723
1928-10-31,0.004378
1928-11-30,0.003874
1928-12-31,0.003451
1929-01-31,0.003332
1929-02-28,0.003508
1929-03-28,0.003431
1929-04-30,0.003567
1929-05-31,0.004388
1929-06-29,0.005193
1929-07-31,0.003345
1929-08-30,0.004030
1929-09-30,0.003573
1929-10-31,0.004796
1929-11-27,0.003547
1929-12-31,0.003661
1930-01-31,0.001393
1930-02-28,0.002964
1930-03-31,0.003475
1930-04-30,0.002104
1930-05-29,0.002581
1930-06-30,0.002693
1930-07-31,0.001984
1930-08-29,0.000580
1930-09-30,0.002192
1930-10-31,0.000866
1930-11-29,0.000999
1930-12-31,0.001398
1931-01-31,0.000555
1931-02-28,0.000407
1931-03-31,0.001887
1931-04-30,0.000827
1931-05-29,0.000875
1931-06-30,0.000504
1931-07-31,0.000591
1931-08-31,0.000388
1931-09-30,0.000417
1931-10-31,0.000812
1931-11-30,0.001669
1931-12-31,0.001252
1932-01-30,0.002367
1932-02-29,0.001447
1932-03-31,0.001147
1932-04-30,0.001145
1932-05-31,0.000445
1932-06-30,0.000220
1932-07-30,0.000250
1932-08-31,0.000267
1932-09-30,0.000309
1932-10-31,0.000178
1932-11-30,0.000146
1932-12-31,0.000108
1933-01-31,0.000108
1933-02-28,-0.000265
1933-03-31,0.000420
1933-04-29,0.000978
1933-05-31,0.000389
1933-06-30,0.000236
1933-07-31,0.000191
1933-08-31,0.000229
1933-09-30,0.000151
1933-10-31,0.000111
1933-11-29,0.000181
1933-12-30,0.000201
1934-01-31,0.000422
1934-02-28,0.000248
1934-03-31,0.000210
1934-04-30,0.000062
1934-05-31,0.000065
1934-06-30,0.000062
1934-07-31,0.000067
1934-08-31,0.000065
1934-09-29,0.000058
1934-10-31,0.000089
1934-11-30,0.000083
1934-12-31,0.000115
1935-01-31,0.000063
1935-02-28,0.000172
1935-03-30,0.000142
1935-04-30,0.000133
1935-05-31,0.000150
1935-06-29,0.000138
1935-07-31,0.000133
1935-08-31,0.000146
1935-09-30,0.000125
1935-10-30,0.000125
